name,url,fetcher,source_url,tz,params,enabled,note
NAVER Cloud,https://medium.com/naver-cloud-platform,feed,https://medium.com/feed/naver-cloud-platform,,,1,
NAVER PLACE,https://medium.com/naver-place-dev,feed,https://medium.com/feed/naver-place-dev,,,1,
NAVER DnA,https://medium.com/naver-dna-tech-blog,feed,https://medium.com/feed/naver-dna-tech-blog,,,1,
카카오스타일,https://devblog.kakaostyle.com/,feed,https://devblog.kakaostyle.com/ko/index.xml,Asia/Seoul,,1,
카카오엔터테인먼트 FE,https://fe-developers.kakaoent.com/,feed,https://fe-developers.kakaoent.com/rss.xml,Asia/Seoul,,0,unreachable: domain 404s everywhere; the blog was retired
카카오엔터프라이즈,https://tech.kakaoenterprise.com/,feed,https://tech.kakaoenterprise.com/feed,Asia/Seoul,,1,
쿠팡,https://medium.com/coupang-engineering,feed,https://medium.com/feed/coupang-engineering,,,1,
G마켓,https://dev.gmarket.com/,feed,https://ebay-korea.tistory.com/rss,Asia/Seoul,,1,
11번가,https://11st-tech.github.io/,feed,https://11st-tech.github.io/rss/,Asia/Seoul,,1,
백패커,https://medium.com/idus-tech,feed,https://medium.com/feed/idus-tech,,,1,
티맵모빌리티,https://brunch.co.kr/@tmapmobility,feed,https://brunch.co.kr/@tmapmobility,Asia/Seoul,,0,unreachable: brunch.co.kr redirects to a Kakao login
펫프렌즈,https://techblog.pet-friends.co.kr/,feed,https://techblog.pet-friends.co.kr/feed,Asia/Seoul,,1,
Tinder,https://medium.com/tinder,feed,https://medium.com/feed/tinder,,,1,
KRAFTON,https://krafton-ai.github.io/blog/,embedded,https://krafton-ai.github.io/blog/,Asia/Seoul,"{""source"": ""js_literal"", ""variable"": ""POSTS"", ""field_map"": {""title"": ""title_kr"", ""date"": ""date_kr"", ""url"": ""file_kr"", ""subtitle"": ""excerpt_kr""}}",1,single page holding a const POSTS JavaScript array; bilingual fields so the Korean ones are named explicitly
NAVER,https://d2.naver.com/,feed,https://d2.naver.com/d2.atom,Asia/Seoul,,1,feed path is /d2.atom; no generic guess finds it
NAVER CLOVA,https://clova.ai/tech-blog,embedded,https://clova.ai/tech-blog,Asia/Seoul,"{""source"": ""next_data"", ""url_template"": ""https://clova.ai/tech-blog/{slug}""}",1,GraphQL edges/node under __NEXT_DATA__; records carry a slug not a URL
카카오,https://tech.kakao.com/,feed,https://tech.kakao.com/feed,Asia/Seoul,,1,
카카오뱅크,https://tech.kakaobank.com/,feed,https://tech.kakaobank.com/index.xml,Asia/Seoul,,1,
카카오페이,https://tech.kakaopay.com/,html_list,https://tech.kakaopay.com/,Asia/Seoul,"{""article_regex"": ""/post/[^/]+"", ""date_from"": ""detail"", ""title_strip"": "" | 카카오페이 기술 블로그"", ""page_url"": ""https://tech.kakaopay.com/page/{page}/""}",1,rss.xml is valid RSS with zero items; date only in <time>
카카오모빌리티,https://developers.kakaomobility.com/techblogs/,html_list,https://developers.kakaomobility.com/techblogs/,Asia/Seoul,"{""article_regex"": ""/[^/]+/[^/]+\\.html"", ""date_from"": ""list""}",1,list cards carry dates as 2026.07.22
토스,https://toss.tech/,feed,https://toss.tech/rss.xml,Asia/Seoul,,1,
우아한형제들,https://techblog.woowahan.com/,feed,https://techblog.woowahan.com/feed/,Asia/Seoul,,1,unreachable from CI: 403 to datacenter addresses; collects fine from Korea
당근,https://medium.com/daangn,feed,https://medium.com/feed/daangn,,,1,publishes the same post in Korean and English; dedupe keeps both
컬리,https://helloworld.kurly.com/,feed,https://helloworld.kurly.com/rss.xml,Asia/Seoul,,1,
무신사,https://techblog.musinsa.com/,feed,https://techblog.musinsa.com/feed,,,1,Medium on a custom domain
롯데ON,https://techblog.lotteon.com/,feed,https://techblog.lotteon.com/feed,,,1,Medium on a custom domain
CJ올리브영,https://oliveyoung.tech/,feed,https://oliveyoung.tech/rss.xml,Asia/Seoul,,1,
요기요,https://techblog.yogiyo.co.kr/,feed,https://techblog.yogiyo.co.kr/feed,Asia/Seoul,,1,
여기어때,https://techblog.gccompany.co.kr/,feed,https://techblog.gccompany.co.kr/feed,Asia/Seoul,,1,
야놀자클라우드,https://www.yanoljagroup.com/ko/blog,html_list,https://www.yanoljagroup.com/ko/blog,Asia/Seoul,"{""article_regex"": ""^/ko/blog/[^/]+/?$"", ""date_from"": ""detail""}",1,unparsed: /ko/blog lists no article links; the listing is client-side
마이리얼트립,https://blog.myrealtrip.com/,feed,https://blog.myrealtrip.com/rss/,Asia/Seoul,,1,
쏘카,https://tech.socarcorp.kr/,feed,https://tech.socarcorp.kr/rss.xml,Asia/Seoul,,1,
더스윙,https://www.theswing.tech/,feed,https://www.theswing.tech/rss/,Asia/Seoul,,1,
드라마앤컴퍼니,https://tech.remember.co.kr/,feed,https://tech.remember.co.kr/feed,Asia/Seoul,,1,
원티드랩,https://medium.com/wantedjobs,feed,https://medium.com/feed/wantedjobs,,,1,
사람인,https://saramin.github.io/,feed,https://saramin.github.io/feed,Asia/Seoul,,1,
인프랩,https://tech.inflab.com/,feed,https://tech.inflab.com/rss.xml,Asia/Seoul,,1,
리디,https://ridicorp.com/story-category/tech-blog/,feed,https://ridicorp.com/feed/,Asia/Seoul,,1,
왓챠,https://medium.com/watcha,feed,https://medium.com/feed/watcha,,,1,
포스타입,https://team.postype.com/,feed,https://team.postype.com/rss,Asia/Seoul,,1,
더핑크퐁컴퍼니,https://medium.com/pinkfong,feed,https://medium.com/feed/pinkfong,,,1,
데브시스터즈,https://tech.devsisters.com/,feed,https://tech.devsisters.com/rss.xml,Asia/Seoul,,1,
버즈빌,https://tech.buzzvil.com/,feed,https://tech.buzzvil.com/feed.xml,Asia/Seoul,,1,
AB180,https://engineering.ab180.co/,html_list,https://engineering.ab180.co/,,"{""article_regex"": ""^/[^/]+/?$"", ""date_from"": ""list""}",1,
